课程号	课程名称	开课学院	余量	容量	待定(本专业/所有)	本账号已选	教学班	教师	周五上课时间	地点	学期段	考试时间	候选来源/页签
551E0130	习近平新时代中国特色社会主义思想在浙江的实践	马克思主义学院	35	50	1~6	否	(2026-2027-1)-551E0130-0017169-2	楼俊超	周四第11,12节;周五第11,12节	紫金港北3-115;紫金港北3-115	冬	待定	zdbk目录 / 通识必修-全部
BIO1004G	生命科学导论实验	生命科学学院	0	35	0~0	否	(2026-2027-1)-BIO1004G-0097288-1	蒋金火	周五第6,7,8,9节{双周}	紫金港生物实验中心-412	秋冬	待定	zdbk目录 / 通识必修-全部、通识必修-自然科学
CAB0710G	调味茶制作与鉴赏	农业与生物技术学院	0	40	0~0	否	(2026-2027-1)-CAB0710G-0619363-1	楚强、陈萍、郭昊蔚	周五第11,12,13节	紫金港农生组团A-375	秋冬	待定	zdbk目录 / 通识选修-全部、通识选修-博雅技艺
CHEM1001G	大学化学	化学系	77	120	0~5	否	(2026-2027-1)-CHEM1001G-0006127-1	聂晶晶、彭笑刚	周二第3,4节;周五第3,4节	紫金港东1B-210;紫金港东1B-210	秋冬	2027年01月09日(10:30-12:30)	zdbk目录 / 通识必修-全部、通识必修-自然科学
CHEM1003G	普通化学（乙）	化学系	67	120	0~16	否	(2026-2027-1)-CHEM1003G-0004127-1	厉刚	周三第1,2节;周五第1,2节	紫金港东1A-205;紫金港东1A-205	秋	2026年11月08日(10:30-12:30)	zdbk目录 / 通识必修-全部、通识必修-自然科学
CHEM1003G	普通化学（乙）	化学系	31	88	0~3	否	(2026-2027-1)-CHEM1003G-0099457-1	张昭	周二第1,2节;周五第3,4节	紫金港东1B-202;紫金港东1B-202	秋	2026年11月08日(10:30-12:30)	zdbk目录 / 通识必修-全部、通识必修-自然科学
CHEM1005G	普通化学实验（甲）	化学系	3	30	0~6	否	(2026-2027-1)-CHEM1005G-0000057-2	李宁	周五第1,2,3,4节	紫金港化学实验中心-201	秋冬	待定	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
CHEM1005G	普通化学实验（甲）	化学系	0	30	0~0	否	(2026-2027-1)-CHEM1005G-0018511-2	徐孝菲	周五第1,2,3,4节	紫金港化学实验中心-204	秋冬	待定	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
CHEM1005G	普通化学实验（甲）	化学系	0	30	0~0	否	(2026-2027-1)-CHEM1005G-0021779-2	赵玲丽	周五第1,2,3,4节	紫金港化学实验中心-203	秋冬	待定	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
CHEM1005G	普通化学实验（甲）	化学系	1	30	0~1	否	(2026-2027-1)-CHEM1005G-0024791-1	韩钊	周五第1,2,3,4节	紫金港化学实验中心-209	秋冬	待定	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
CHEM1005G	普通化学实验（甲）	化学系	3	30	0~2	否	(2026-2027-1)-CHEM1005G-0095358-2	毛建新	周五第1,2,3,4节	紫金港化学实验中心-202	秋冬	待定	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
