课程号	课程名称	查老师评分(0-10)	余量	容量	待定(本专业/所有)	本账号已选	完全落在窗口?	部分重叠?	开课学院	教学班	教师	实际上课时间	地点	学期段	考试时间	来源	所在目录/类别
ADMN0604G	自我探索与心理成长	9.6	11	60	0~0	否	是	否	心理健康教育与咨询中心	(2026-2027-1)-ADMN0604G-0018515-1	邵瑾	周三第6,7,8节	玉泉教4-220	秋	待定	通识选修目录	生命探索
EDU2001G	军事理论	10.0	2	225	0~0	否	是	否	-	(2026-2027-1)-EDU2001G-0017170-1	程春	周二第1,2节	紫金港西1-106	秋冬	2027年01月08日(10:30-12:30)	PDF培养方案	通识-军体必修
EDU2001G	军事理论	10.0	64	300	28~321	否	是	否	-	(2026-2027-1)-EDU2001G-0017170-5	程春	周三第6,7节	紫金港北2-112	秋冬	2027年01月08日(10:30-12:30)	PDF培养方案	通识-军体必修
ENVR0601G	环境与可持续发展导论	7.6	6	80	0~0	否	是	否	环境与资源学院	(2026-2027-1)-ENVR0601G-0023041-1	史乐	周五第11,12,13节	紫金港北3-112	秋	待定	通识选修目录	生命探索
MARX1003G	习近平新时代中国特色社会主义思想概论	7.5	1	145	10~41	否	是	否	-	(2026-2027-1)-MARX1003G-0087473-3	熊卫平	周三第6,7,8节	紫金港东2-101	秋冬	2027年01月10日(14:00-16:00)	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	8.6	2	80	0~0	否	是	否	-	(2026-2027-1)-MARX1004G-0008309-1	仇婷婷	周一第3,4节	紫金港东1A-207	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	9.5	6	97	16~51	否	是	否	-	(2026-2027-1)-MARX1004G-0013429-1	苏腾	周一第1,2节	紫金港东1B-304	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	9.8	1	125	0~0	否	是	否	-	(2026-2027-1)-MARX1004G-0014355-1	吴行	周一第1,2节	紫金港东1A-301	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	9.9	7	90	6~25	否	是	否	-	(2026-2027-1)-MARX1004G-0017582-1	李济沅	周三第7,8节	紫金港东1B-302	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	7.4	11	90	0~5	否	是	否	-	(2026-2027-1)-MARX1004G-0023310-2	俞鼎	周三第7,8节	紫金港东2-104	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	9.2	8	90	4~13	否	是	否	-	(2026-2027-1)-MARX1004G-0023358-4	奚佳梦	周三第7,8节	紫金港东2-202	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	9.2	9	97	7~23	否	是	否	-	(2026-2027-1)-MARX1004G-0024312-1	徐冰娜	周一第1,2节	紫金港东1A-307	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	9.2	2	80	0~4	否	是	否	-	(2026-2027-1)-MARX1004G-0024312-2	徐冰娜	周一第3,4节	紫金港东1A-307	秋冬	待定	PDF培养方案	通识-思政必修
MARX1004G	大学生思想文化素养	9.9	1	80	0~0	否	是	否	-	(2026-2027-1)-MARX1004G-0096122-1	梁清华	周一第3,4节	紫金港东1B-208	秋冬	待定	PDF培养方案	通识-思政必修
MATH2432F	概率论与数理统计	9.5	67	232	1~18	否	是	否	-	(2026-2027-1)-MATH2432F-0014136-1	王枫	周一第3,4,5节	紫金港西2-102	秋冬	2027年01月12日(10:30-12:30)	PDF培养方案	专业基础
MATH2432F	概率论与数理统计	7.3	167	230	1~7	否	是	否	-	(2026-2027-1)-MATH2432F-0083261-1	吴建军	周一第3,4,5节	紫金港西2-101	秋冬	2027年01月12日(10:30-12:30)	PDF培养方案	专业基础
MATH2432F	概率论与数理统计	9.9	65	233	1~7	否	是	否	-	(2026-2027-1)-MATH2432F-0086211-4	吴国桢	周三第6,7,8节	紫金港西2-102	秋冬	2027年01月12日(10:30-12:30)	PDF培养方案	专业基础
MATH2432F	概率论与数理统计	9.9	38	233	1~5	否	是	否	-	(2026-2027-1)-MATH2432F-0096543-2	郑志浩	周三第6,7,8节	紫金港西2-101	秋冬	2027年01月12日(10:30-12:30)	PDF培养方案	专业基础
MGMT0302G	现代管理基础	9.1	16	80	17~189	否	是	否	管理学院	(2026-2027-1)-MGMT0302G-0093324-3	黄浏英	周三第6,7,8节	紫金港北1-216	秋	待定	通识选修目录	当代社会
MGMT0306G	创业启程	8.3	1	250	0~0	否	是	否	管理学院	(2026-2027-1)-MGMT0306G-0092153-2	施杰	周五第11,12,13节{单周}	紫金港东2-202	冬	2027年01月07日(18:30-20:30)	通识选修目录	当代社会
PHIL0302G	马克思主义宗教学	9.8	1	120	0~0	否	是	否	哲学学院	(2026-2027-1)-PHIL0302G-0015028-1	何欢欢	周三第6,7,8节	紫金港北2-114	冬	待定	通识选修目录	当代社会
PHIL0703G	大学写作——写作·社会	8.7	7	30	18~128	否	是	否	哲学学院	(2026-2027-1)-PHIL0703G-0099092-1D	王晓梦	秋周三第9,10节;冬周三第9,10节	紫金港北1-114;紫金港西2-308	秋冬	待定	通识选修目录	博雅技艺
PHIL0703G	大学写作——写作·社会	9.4	3	30	18~110	否	是	否	哲学学院	(2026-2027-1)-PHIL0703G-0099092-1F	郑淋议	秋周三第9,10节;冬周三第9,10节	紫金港北1-114;紫金港北1-120	秋冬	待定	通识选修目录	博雅技艺
PHIL0703G	大学写作——写作·社会	9.8	3	30	0~0	否	是	否	哲学学院	(2026-2027-1)-PHIL0703G-0099092-1G	杨洋	秋周三第9,10节;冬周三第9,10节	紫金港北1-114;紫金港西2-504	秋冬	待定	通识选修目录	博雅技艺
PPAE0734G	小提琴艺术	9.4	1	55	0~0	否	是	否	公共体育与艺术部	(2026-2027-1)-PPAE0734G-0004283-2	周聪	周三第6,7,8节	紫金港西1-105	秋冬	待定	通识选修目录	博雅技艺
